center_id,descripcio_servei,nom,adreça,titularitat,temps_mitja_espera,places_publiques,places_privades,places_totals
9394,Residència assistida per a gent gran - temporal o permanent,Residència per a gent gran Acayser del Carme (servei de residència assistida),"C. Carme, 64, prl","Acayser Carme, SL",5 mesosinfo,19,1,20
9395,Residència assistida per a gent gran - temporal o permanent,"Geros 4, Residència tercera edat","C. Pelai, 9, prl","Gestió de Residències, SL",11 mesosinfo,12,13,25
9396,Residència assistida per a gent gran - temporal o permanent,Llar de la Mercè,"C. Rull, 1",Familia i Benestar Social - Fundació Privada,5 mesosinfo,25,,
9397,Residència assistida per a gent gran - temporal o permanent,Residència Collserola,"C. Josep Anselm Clavé, 6, prl","Mamagosa, SL",,,24,
9399,Residència assistida per a gent gran - temporal o permanent,Residència Moll de la Fusta,"C. Varsòvia, 36","Residència Moll de la Fusta, SL",10 mesosinfo,21,4,25
9400,Residència assistida per a gent gran - temporal o permanent,Residencia Santa Olga II,"Ctr. de Barcelona, 105-113","Medinaceli Residencia, S.L.U",2 mesosinfo,5,20,25
9401,Residència assistida per a gent gran - temporal o permanent,Residencia de la Fe,"C. Sant Pere més Alt, 72, ent",Pilar Gámez de la Fe,3 mesosinfo,22,1,23
9402,Residència assistida per a gent gran - temporal o permanent,Residència per a Gent Gran Pare Batllori,"C. Vila i Vilà, 39-41",Generalitat de Catalunya,1 any i 1 mesinfo,90,,
9403,Residència assistida per a gent gran - temporal o permanent,Residència per a Gent Gran Font Florida,"C. Font Florida, 98",Generalitat de Catalunya,1 any i 2 mesosinfo,88,,
9404,Residència assistida per a gent gran - temporal o permanent,Residència Gran Via Parc (Residència Assistida),"C. Mandoni, 11","Gran Via Parc, SL",2 anys i 3 mesosinfo,52,99,151
9405,Residència assistida per a gent gran - temporal o permanent,Centre per a la gent gran Vitalia Sants,"C. Mandoni, 17","Vitalia Home, SL",1 any i 3 mesosinfo,122,62,184
9408,Residència assistida per a gent gran - temporal o permanent,Acolliment a la Vellesa,"C. Pujades, 273-277, 1er","Assistència i Confort, SL",,,22,
9409,Residència assistida per a gent gran - temporal o permanent,Residència per a Gent Gran Jaume Batlle,"C. Fernando Poo, 45",Generalitat de Catalunya,1 any i 2 mesosinfo,78,,
9410,Residència assistida per a gent gran - temporal o permanent,Residencia Venero,"C. Venero, 4-6",Fundació Privada Pere Relats,2 anys i 5 mesosinfo,55,43,98
9412,Residència assistida per a gent gran - temporal o permanent,Residència per a Gent Gran Poblenou,"C. LLull, 332",Generalitat de Catalunya,2 anys i 6 mesosinfo,90,,
9414,Residència assistida per a gent gran - temporal o permanent,Residència l'Eixample III,"C. Muntaner, 402, prl 2ª","Residencia Rosa Tejedor, SL",2 mesosinfo,18,,
9415,Residència assistida per a gent gran - temporal o permanent,Llar-residència per a gent gran Associació Pro Avis en Família,"C. Muntaner, 402, 1er",Fundació Privada Via Activa,5 mesosinfo,18,2,20
9418,Residència assistida per a gent gran - temporal o permanent,Residència Assistida Ricard Julià - Club d'Avis les Saleses,"C. València, 263, 2on",Associació Club d'Avis Les Saleses,3 mesosinfo,22,1,23
9419,Residència assistida per a gent gran - temporal o permanent,Llar-Residència per a gent gran Anna,"C. Aragó, 268, 1er 2ª","Centro Geriátrico Anna, S.L.",3 mesosinfo,25,,
9421,Residència assistida per a gent gran - temporal o permanent,Residència Geriàtrica La Pau,"Pça. Dr. Letamendi, 35, 2on 2ª","Vallstira, S.L.",7 mesosinfo,16,1,17
9422,Residència assistida per a gent gran - temporal o permanent,Residencia Geriátrica Consejo de Ciento,"C. Consell de Cent, 276, 1er","Residencia Geriátrica Consejo de Ciento, SL",3 mesosinfo,19,4,23
9423,Residència assistida per a gent gran - temporal o permanent,Residència el Jardí 2000,"Av. Gran Via de les Corts Catalanes, 618 pral.1a-1r 1a","Residència el Jardí 2000, SL",4 mesosinfo,18,6,24
9424,Residència assistida per a gent gran - temporal o permanent,Residència L'Eixample,"C. Provença, 245, pral. 1r i 2a","KALUNGA AVIS, SL unipersonal",3 mesosinfo,25,,
9425,Residència assistida per a gent gran - temporal o permanent,Residència Plaça de la Vila,"C. Bogatell, 43, Entrl 1ª","Gerivel, S.L.",3 mesosinfo,13,17,30
9426,Residència assistida per a gent gran - temporal o permanent,Residència assistida Ramon Sala - Club d'Avis les Saleses,"C. Aragó, 344, prl",Associació Club d'Avis Les Saleses,3 mesosinfo,17,,
9430,Residència assistida per a gent gran - temporal o permanent,Residencia Seribel,"C. Bailèn, 51, pral. 1r. 2a.","Serian Residencias, S.L.",,,24,
9431,Residència assistida per a gent gran - temporal o permanent,Residència Mussol l'Eixample,"C. Aragó, 293","Ansol Geriàtrics, SL",10 mesosinfo,57,43,100
9432,Residència assistida per a gent gran - temporal o permanent,Centro gerontológico llar Girona,"C. Girona, 51, prl 2ª","Adauri Geriàtrics, SL",,,22,
9434,Residència assistida per a gent gran - temporal o permanent,Residència Rosa Franch (servei de residència assistida),"C. Consell de Cent, 403, prl",Associació Club d'Avis Les Saleses,2 mesosinfo,15,1,16
9436,Residència assistida per a gent gran - temporal o permanent,Residencia geriátrica Urquinaona II,"Pça. Urquinaona, 1, 3er 1ª","Assistential Cresgra Services, SL",4 mesosinfo,19,1,20
9438,Residència assistida per a gent gran - temporal o permanent,Residència Taber,"Av. Gran Via de les Corts Catalanes, 625, prl","Residencia Geriatrica Les Palmeres, SL",4 mesosinfo,21,3,24
9441,Residència assistida per a gent gran - temporal o permanent,Centro Geriátrico Gure-Etzea,"C. Bailèn, 28, prl","Centro Geriátrico Gure-Etxea, S.L.",,,20,
9442,Residència assistida per a gent gran - temporal o permanent,Residència Canava,"C. Bailèn, 46, pral. 1a i 2a","Residencia Canava 2002, SL",2 mesosinfo,19,1,20
9443,Residència assistida per a gent gran - temporal o permanent,Royal Llar,"Av. Gran Via de les Corts Catalanes, 695, ent","Royal Llar, SL",4 mesosinfo,32,4,36
9445,Residència assistida per a gent gran - temporal o permanent,"Residència ""Com a Casa""","Av. Gran Via de les Corts Catalanes, 651, pral 1a i 2a","Febaz de geriàtria, SL",,,25,
9448,Residència assistida per a gent gran - temporal o permanent,Residencia geriátrica Urquinaona I,"Pça. Urquinaona, 1, 2on 1ª","Assistential Cresgra Services, SL",5 mesosinfo,24,1,25
9449,Residència assistida per a gent gran - temporal o permanent,Residència el Balancí,"Pça. Tetuan, 2, 1r 1a i 2a","Residència el Balancí 2000, SL",1 any i 9 mesosinfo,12,11,23
9450,Residència assistida per a gent gran - temporal o permanent,Residència Olivaret Eixample,"Pça. Tetuan, 2, pral. 1a i 2a","Fina Vernet, SL",3 anys i 8 mesosinfo,13,11,24
9452,Residència assistida per a gent gran - temporal o permanent,Residència El Mussol,"C. Bruc, 32, prl",Mussol 2020 S.L,5 mesosinfo,13,,
9453,Residència assistida per a gent gran - temporal o permanent,Residència 3a edat Verge del Roser,"C. Casp, 82, prl 2ª","IPF Servicios Geriátricos, SL",3 mesosinfo,17,1,18
9456,Residència assistida per a gent gran - temporal o permanent,Centro Geriátrico Gure-Etzea III,"C. Bailèn, 28, 1er 1ª","Centro Geriátrico Gure-Etxea, S.L.",,,15,
9457,Residència assistida per a gent gran - temporal o permanent,IPF Servicios Geriátricos,"C. Caspe, 82, 4rt 2ª","IPF Servicios Geriátricos, SL",1 mesinfo,15,1,16
9459,Residència assistida per a gent gran - temporal o permanent,Residència Sidi Bel 2001,"Av. Gran Via de les Corts Catalanes, 540, 1er 1ª","Sidi Bel 2001, S.L.",1 any i 5 mesosinfo,11,14,25
9460,Residència assistida per a gent gran - temporal o permanent,Residència Geriàtrica L'Estel III,"C. Aragó, 140, prl","Saraibra, S.L.",3 mesosinfo,24,1,25
9462,Residència assistida per a gent gran - temporal o permanent,Residencia Asistida las Violetas,"Av. Gran Via de les Corts Catalanes, 573, 1er","Atención integral personalizada, SL",5 mesosinfo,25,,
9464,Residència assistida per a gent gran - temporal o permanent,Sanitas Residencial Consell de Cent,"C. Consell de Cent, 210-212","Sanitas Mayores, SL",5 anys i 4 mesosinfo,15,144,159
9467,Residència assistida per a gent gran - temporal o permanent,Llar Residencial Meran - Lesseps,"C. Santa Àgata, 41","Llar Residencial Meran, S.L.",2 mesosinfo,52,1,53
9468,Residència assistida per a gent gran - temporal o permanent,Verdi Residencial,"C. Verdi, 142","Médica Residencial, SL",3 mesosinfo,29,,
9474,Residència assistida per a gent gran - temporal o permanent,Residència Geriàtrica Verdi,"C. Verdi, 151-155","Residència Geriàtrica Verdi, SL",2 anys i 5 mesosinfo,12,33,45
9475,Residència assistida per a gent gran - temporal o permanent,Residència Salus Gràcia,"C. Mare de Deu dels Desamparats, 2-4","Salus Habitat, SL",1 any i 1 mesinfo,36,45,81
9476,Residència assistida per a gent gran - temporal o permanent,Residència Gràcia,"C. Gran de Gràcia, 226",La Daurada de Gràcia,,,40,
9478,Residència assistida per a gent gran - temporal o permanent,Residència assistida gent gran,"Av. Gran Via de les Corts Catalanes, 800, prl","Residència assistida gent gran, SL",1 any i 1 mesinfo,5,20,25
9479,Residència assistida per a gent gran - temporal o permanent,Residencia las Acacias,"C. Castillejos, 260-266","Complejo Mar Bella, SA",2 anys i 4 mesosinfo,58,155,213
9480,Residència assistida per a gent gran - temporal o permanent,Residència Municipal Fortpienc,"C. Sardenya, 139-147",Ajuntament de Barcelona,11 mesosinfo,130,7,137
9481,Residència assistida per a gent gran - temporal o permanent,Sanitas Residencial Sagrada Familia,"C. Castillejos, 256-258","Sanitas Mayores, SL",5 anys i 7 mesosinfo,15,133,148
9482,Residència assistida per a gent gran - temporal o permanent,Equipament per a Gent Gran Josep Miracle,"Pça. Bonet i Muixí, 1",Ajuntament de Barcelona,2 anys i 8 mesosinfo,24,26,50
9483,Residència assistida per a gent gran - temporal o permanent,Llar d'avis Passeig de Gràcia,"C. Gavà, 11","Llar d'Avis Passeig de Gràcia, S.L.",6 mesosinfo,43,7,50
9484,Residència assistida per a gent gran - temporal o permanent,Residència per a Gent Gran Mossèn Vidal i Aunós,"C. Navarra, 12-28",Generalitat de Catalunya,1 any i 1 mesinfo,112,,
9485,Residència assistida per a gent gran - temporal o permanent,Sanitas Residencial Les Corts,"C. Evarist Arnús, 22-32","Sanitas Mayores, SL",4 anys i 2 mesosinfo,53,255,308
9486,Residència assistida per a gent gran - temporal o permanent,Residencia Centre Parc (servei de residència assistida),"Av. Madrid, 210","Residencia Centre Parc 5 Estrellas, SL",3 anys i 8 mesosinfo,24,138,162
9487,Residència assistida per a gent gran - temporal o permanent,Residència Francesc Layret,"Av. Gran Via de les Corts Catalanes, 477",Ajuntament de Barcelona,1 any i 9 mesosinfo,28,38,66
9490,Residència assistida per a gent gran - temporal o permanent,Residencia Arrels,"Av. Gran Via de les Corts Catalanes, 429, ent 1ª","Residencia Arrels, S.L.",,,25,
9491,Residència assistida per a gent gran - temporal o permanent,Residència Nova Convivència 1,"Av. Gran Via de les Corts Catalanes, 429, 1er 1ª","Nova Convivència, SL",7 mesosinfo,4,21,25
9492,Residència assistida per a gent gran - temporal o permanent,Residència Nova Convivència 2,"Av. Gran Via de les Corts Catalanes, 429, 2on 1ª","Nova Convivència, SL",,,18,
9493,Residència assistida per a gent gran - temporal o permanent,Residència Vallserena,"Av. Gran Via de les Corts Catalanes, 429, prl 2ª","Residència Vallserena-2, SL",10 mesosinfo,2,12,14
9494,Residència assistida per a gent gran - temporal o permanent,Residència Nova Alegria,"Av. Gran Via de les Corts Catalanes, 420, bxos. i pral","Residència Nova Alegria, SL",info,12,21,33
9495,Residència assistida per a gent gran - temporal o permanent,Ballesol - Fabra i Puig,"C. Fabra i Puig, 139-141","Intercentros Ballesol, SA",1 any i 4 mesosinfo,32,104,136
9497,Residència assistida per a gent gran - temporal o permanent,Residència per a Gent Gran Porta,"C. Maladeta, 30",Generalitat de Catalunya,2 anys i 4 mesosinfo,88,,
9498,Residència assistida per a gent gran - temporal o permanent,Residència Nin,"Psg. Andreu Nin, 69-71","Residència Nin, SL",,,25,
9499,Residència assistida per a gent gran - temporal o permanent,Residència per a Gent Gran Molí - Via Favència,"C. Molí, 67",Generalitat de Catalunya,1 any i 10 mesosinfo,100,,
9501,Residència assistida per a gent gran - temporal o permanent,Centro Vallvidrera,"C. Algarves, 23","Edelweis Ibérica, S.L.",,,75,
9503,Residència assistida per a gent gran - temporal o permanent,Residencia Armonia,"C. Pomaret, 6","AAF MAS DCA, SL",5 mesosinfo,42,3,45
9504,Residència assistida per a gent gran - temporal o permanent,Residència La Nativitat de Nostra Senyora (servei de residència assistida),"C. Buïgas, 23",Hermanas Franciscanas Misioneras de la Natividad de Nuestra Señora - Buigas,2 anys i 2 mesosinfo,24,51,75
9506,Residència assistida per a gent gran - temporal o permanent,Sant Gervasi Residencial,"C. Martorell i Penya, 2 i 6","Sant Gervasi Paradís, SL",6 mesosinfo,32,3,35
9507,Residència assistida per a gent gran - temporal o permanent,Institut del Desert de Sarrià (servei de residència assistida),"Psg. de Santa Eulàlia, 23",Fundació Institut del Desert de Sarrià,2 anys i 8 mesosinfo,40,44,84
9508,Residència assistida per a gent gran - temporal o permanent,Residencia San Ignacio de Loyola,"C. Major de Sarrià, 238",Hermanas Misioneras de la Natividad de Nuestra Señora.(S. Ignacio de Loyola),1 any i 1 mesinfo,36,17,53
9509,Residència assistida per a gent gran - temporal o permanent,Residència Betània (servei de residència assistida),"Av. Vallvidriera, 34",Compañia Hijas de la Caridad-Residencia Betania,8 mesosinfo,64,16,80
9510,Residència assistida per a gent gran - temporal o permanent,Residencial Mas d'Anglí,"C. Institut Químic de Sarrià, 43-47","Aditnalta Promocions, SL",2 anys i 2 mesosinfo,12,81,93
9513,Residència assistida per a gent gran - temporal o permanent,Residència Assistida DomusVi Bonanova,"C. Calatrava, 87","SAR Residencial y Asistencial,SAU",,,101,
9514,Residència assistida per a gent gran - temporal o permanent,Residència la Trobada,"C. Joan d'Àustria, 105, 1er 1ª","Residència la Trobada, SL",2 anys i 7 mesosinfo,1,33,34
9515,Residència assistida per a gent gran - temporal o permanent,Residència Parc del Clot,"Rbl. Poblenou, 187","Gerond Medic, SL",2 anys i 6 mesosinfo,18,66,84
9516,Residència assistida per a gent gran - temporal o permanent,Residència Amavir Diagonal,"C. Llacuna, 120-122","Planiger, SA",3 anys i 10 mesosinfo,24,132,156
9517,Residència assistida per a gent gran - temporal o permanent,Residència Ballesol - Almogàvers,"C. Almogàvers, 32-38","Intercentros Ballesol, SA",9 mesosinfo,47,142,189
9519,Residència assistida per a gent gran - temporal o permanent,Residència per a Gent Gran La Verneda,"C. Cantàbria, 28",Generalitat de Catalunya,4 anysinfo,80,,
9520,Residència assistida per a gent gran - temporal o permanent,Residencia Kristel Oro,"Pge. Arriassa, 2-6","Kristel Residencial, SL",1 anyinfo,62,22,84
9521,Residència assistida per a gent gran - temporal o permanent,Residència 3a Edat Llar de l'Avi,"C. Muntaner, 411, prl 2ª",Residència de l'avi 2010 SL,2 mesosinfo,15,,
9522,Residència assistida per a gent gran - temporal o permanent,Residencial Augusta Park,"C. Copèrnic, 30-32","Geriàtric Augusta, SL",,,121,
9525,Residència assistida per a gent gran - temporal o permanent,Residència El Meu Jardí,"C. Quatre Camins, 74","Take Advantage, SL",1 any i 2 mesosinfo,15,10,25
9526,Residència assistida per a gent gran - temporal o permanent,Sanitas Residencial Altanova,"C. Quatrecamins, 95","Sanitas Mayores, SL",2 anys i 11 mesosinfo,33,117,150
9527,Residència assistida per a gent gran - temporal o permanent,Residencial Sant Gervasi Parc (servei de residència assistida),"c. Teodora Lamadrid, 7","Geriàtric Sant Gervasi Parc, SL",,,135,
9528,Residència assistida per a gent gran - temporal o permanent,Refugi d'Obreres (servei de residència assistida),"Av. República Argentina, 16-18",Fundació Refugi d'Obreres,4 anys i 3 mesosinfo,30,60,90
9529,Residència assistida per a gent gran - temporal o permanent,Residència Jubany,"Av. República Argentina, 236","Residència Jubany, S.A.",9 mesosinfo,29,14,43
9531,Residència assistida per a gent gran - temporal o permanent,Hogar La Salud,"C. Cardedeu, 47, tor","Hogar La Salud, S.L.",3 mesosinfo,32,3,35
9532,Residència assistida per a gent gran - temporal o permanent,Centro Residencial Putxet,"C. Roca i Batlle, 31-35, tor","Putxet Servicios Asistenciales, SL",,,51,
9533,Residència assistida per a gent gran - temporal o permanent,Residència assistida per a gent gran Vibentia Mullerat,"C. Portell, 11-13","Residència Mullerat, SA",1 any i 2 mesosinfo,18,7,25
9534,Residència assistida per a gent gran - temporal o permanent,Residència Santa Creu (servei de residència assistida),"C. Elisa, 22",Residència Sta. Cruz de C. Elisa 22 Barcelona-Congregació de Germanes Hospitalàries de la Sta. Creu,2 anys i 5 mesosinfo,5,43,48
9535,Residència assistida per a gent gran - temporal o permanent,Residència Assistida DomusVi Regina,"C. Mare de Déu del Coll, 22-30","SAR Residencial y Asistencial,SAU",1 any i 5 mesosinfo,95,70,165
9536,Residència assistida per a gent gran - temporal o permanent,Residència Geriàtrica Els Jardins de Barcelona,"C. Baró de la Barre, 5","Residència Geriàtrica Els Jardins de Barcelona, SL",1 any i 9 mesosinfo,15,10,25
9537,Residència assistida per a gent gran - temporal o permanent,Villa Salud,"C. Francisco Alegre, 26","Cover Avis, SL unipersonal",,,35,
9539,Residència assistida per a gent gran - temporal o permanent,Adegius Residencial,"C. Alegre de Dalt, 72-74","Adegius, SL",2 mesosinfo,38,2,40
9540,Residència assistida per a gent gran - temporal o permanent,Residencia Virgen de Lourdes,"C. Vilafranca, 22","Residencia Virgen de Lourdes, S.L.",9 mesosinfo,22,8,30
9542,Residència assistida per a gent gran - temporal o permanent,Residència Francisco Darder (servei de residència assistida),"C. Cardoner, 49",Hermanas Franciscanas Misioneras de la Natividad de Nuestra Señora-Francisco Darder,2 anys i 7 mesosinfo,20,20,40
9543,Residència assistida per a gent gran - temporal o permanent,Residència Sol de Tardor,"C. Francesc Alegre, 24","Sol de Tardor, SL",1 any i 7 mesosinfo,5,16,21
9544,Residència assistida per a gent gran - temporal o permanent,Residència Assistida DomusVi La Salut,"C. Antequera, 8-18","SAR Residencial y Asistencial,SAU",2 anys i 9 mesosinfo,39,79,118
9545,Residència assistida per a gent gran - temporal o permanent,Residència Sharedx Care,"C. Polònia, 37-41","Sharedx Care, SL",3 anys i 3 mesosinfo,11,59,70
9546,Residència assistida per a gent gran - temporal o permanent,Residencial Parc Güell (residència assistida),"C. Mare de Déu de la Salut, 39-43","Residencial Parc Güell, SL",1 any i 4 mesosinfo,2,38,40
9547,Residència assistida per a gent gran - temporal o permanent,Residència Sagrada Família 1,"C. Rosselló, 344, àtic 1a i 2a, escala dreta",Associació Sagrada Família per a Ancians,1 any i 6 mesosinfo,12,5,17
9548,Residència assistida per a gent gran - temporal o permanent,Residència Sagrada Família-2,"C. Rosselló, 340, 1r 3a, escala esquerra",Associació Sagrada Família per a Ancians,7 mesosinfo,9,4,13
9549,Residència assistida per a gent gran - temporal o permanent,Residència Arcoiris,"C. Sicília, 402, 2on","Rocaguerra, SL",,,24,
9550,Residència assistida per a gent gran - temporal o permanent,Residencia Arcoiris 2,"C. Sicília, 402, prl 2ª","Rocaguerra, SL",,,13,
9551,Residència assistida per a gent gran - temporal o permanent,Geriàtric Nogués,"C. La Pau, 3-9","Geriàtric Nogués, SL",8 mesosinfo,47,19,66
9552,Residència assistida per a gent gran - temporal o permanent,Residència Assistida DomusVi Claret,"Av. Sant Antoni Mª Claret, 200","Quavitae Servicios Asistenciales, SA",2 anys i 4 mesosinfo,92,170,262
9553,Residència assistida per a gent gran - temporal o permanent,Sanitas Residencial Provença,"C. Provença, 514-520","Sanitas Mayores, SL",2 anys i 5 mesosinfo,15,109,124
9554,Residència assistida per a gent gran - temporal o permanent,Los Tilos. Residència 3ª Edat,"C. Sardenya, 480-490","Medin-1, SA",2 anys i 7 mesosinfo,77,181,258
9555,Residència assistida per a gent gran - temporal o permanent,Lepant Residencial Residència assistida,"C. Lepant, 401-403","Lepant Residencial, Q.G.G., SL",1 any i 3 mesosinfo,59,134,193
9557,Residència assistida per a gent gran - temporal o permanent,ORS - Residència assistida,"C. Rosselló, 380-382",Obra Religiosa Social - O.R.S.,,,32,
9558,Residència assistida per a gent gran - temporal o permanent,Bouco Barcelona Guinardó,"Rda. Guinardó, 48-50","Emeis Ibérica, SAU",,,150,
9559,Residència assistida per a gent gran - temporal o permanent,Residència 3a. Edat Sibelius,"C. Juan Sibelius, 1","Residència gent gran Sibelius, SL Unipersonal",4 mesosinfo,28,,
9560,Residència assistida per a gent gran - temporal o permanent,Residencia Geriátrica San Pablo,"C. Coll i Vehí, 26","Residencia Geriátrica San Pablo, S.L.",1 anyinfo,50,22,72
9561,Residència assistida per a gent gran - temporal o permanent,Residència Marvi Park,"C. Mallorca, 603-609, prl","Line Investment, SL",2 anys i 9 mesosinfo,11,55,66
9562,Residència assistida per a gent gran - temporal o permanent,Residència Santa Olga,"C. Ripollès, 75 bajos","Residencia Olga,SL",11 mesosinfo,14,11,25
9565,Residència assistida per a gent gran - temporal o permanent,Centre gerontològic Anna,"C. Pinar del Rio, 10","Geriàtrics Isern i Gascon, SL",4 anys i 1 mesinfo,9,23,32
9566,Residència assistida per a gent gran - temporal o permanent,Residència per a Gent Gran La Sagrera,"C. Berenguer de Palou, 102",Generalitat de Catalunya,2 anys i 11 mesosinfo,96,,
9567,Residència assistida per a gent gran - temporal o permanent,Residencial Margal,"c. Felip II, 42, bxs","Residència Margal, SL",info,1,24,25
9569,Residència assistida per a gent gran - temporal o permanent,Residència per a Gent Gran Les Corts,"C. Montnegre, 33",Generalitat de Catalunya,2 anysinfo,85,,
9571,Residència assistida per a gent gran - temporal o permanent,Casa Asil de Sant Andreu de Palomar (servei de residència assistida),"C. Agustí i Milà, 78",Fundació Privada Casa Asil de Sant Andreu de Palomar,2 anysinfo,112,40,152
